iter	Passed	Remaining
0	168	50452
1	195	29177
2	220	21833
3	245	18146
4	286	16880
5	309	15188
6	338	14175
7	378	13828
8	411	13290
9	449	13036
10	492	12951
11	535	12842
12	573	12655
13	624	12749
14	661	12565
15	689	12232
16	718	11966
17	745	11672
18	771	11409
19	795	11141
20	821	10909
21	846	10702
22	873	10522
23	902	10374
24	938	10327
25	967	10197
26	997	10087
27	1028	9994
28	1058	9887
29	1084	9761
30	1115	9680
31	1157	9691
32	1199	9704
33	1229	9617
34	1270	9618
35	1307	9585
36	1347	9575
37	1380	9520
38	1433	9595
39	1470	9561
40	1503	9500
41	1542	9474
42	1583	9463
43	1631	9492
44	1671	9474
45	1703	9408
46	1739	9362
47	1780	9347
48	1827	9359
49	1873	9369
50	1917	9363
51	1963	9365
52	2014	9386
53	2058	9376
54	2124	9465
55	2171	9459
56	2205	9402
57	2275	9495
58	2331	9522
59	2380	9521
60	2415	9462
61	2461	9449
62	2502	9414
63	2551	9407
64	2599	9397
65	2648	9390
66	2681	9326
67	2713	9256
68	2741	9177
69	2768	9095
70	2789	8996
71	2813	8910
72	2837	8822
73	2861	8739
74	2888	8665
75	2919	8604
76	2948	8540
77	2970	8453
78	2994	8375
79	3015	8292
80	3039	8216
81	3066	8151
82	3086	8070
83	3111	8000
84	3130	7918
85	3154	7850
86	3182	7792
87	3206	7724
88	3239	7679
89	3267	7623
90	3294	7566
91	3338	7548
92	3391	7548
93	3418	7491
94	3446	7436
95	3476	7387
96	3511	7348
97	3540	7297
98	3572	7253
99	3623	7247
100	3647	7187
101	3672	7129
102	3701	7080
103	3728	7027
104	3751	6966
105	3783	6923
106	3812	6876
107	3836	6820
108	3859	6762
109	3893	6725
110	3917	6669
111	3948	6627
112	3973	6576
113	3997	6521
114	4054	6522
115	4081	6474
116	4113	6433
117	4141	6387
118	4169	6342
119	4226	6340
120	4282	6335
121	4315	6296
122	4346	6255
123	4393	6236
124	4416	6183
125	4446	6140
126	4485	6110
127	4519	6073
128	4562	6048
129	4589	6001
130	4618	5958
131	4667	5940
132	4696	5897
133	4725	5853
134	4755	5811
135	4775	5758
136	4803	5714
137	4823	5662
138	4846	5613
139	4869	5564
140	4899	5524
141	4924	5478
142	4951	5436
143	4974	5389
144	4999	5344
145	5019	5294
146	5052	5258
147	5080	5217
148	5109	5177
149	5129	5129
150	5155	5087
151	5175	5039
152	5212	5007
153	5235	4963
154	5260	4921
155	5289	4882
156	5325	4850
157	5348	4807
158	5376	4768
159	5405	4729
160	5433	4691
161	5461	4652
162	5496	4619
163	5538	4593
164	5563	4552
165	5594	4515
166	5618	4474
167	5647	4437
168	5672	4397
169	5696	4356
170	5722	4316
171	5741	4272
172	5764	4231
173	5788	4191
174	5805	4146
175	5827	4105
176	5848	4064
177	5868	4022
178	5889	3981
179	5914	3942
180	5941	3906
181	5964	3867
182	5982	3824
183	6004	3785
184	6029	3747
185	6047	3706
186	6066	3665
187	6089	3627
188	6110	3588
189	6137	3553
190	6158	3514
191	6189	3481
192	6224	3450
193	6256	3418
194	6284	3384
195	6312	3349
196	6334	3311
197	6368	3280
198	6395	3245
199	6424	3212
200	6447	3175
201	6465	3136
202	6487	3099
203	6512	3064
204	6537	3029
205	6563	2995
206	6589	2960
207	6621	2928
208	6654	2897
209	6674	2860
210	6700	2826
211	6724	2791
212	6742	2754
213	6766	2719
214	6790	2684
215	6822	2653
216	6847	2619
217	6871	2584
218	6895	2550
219	6918	2515
220	6938	2480
221	6969	2448
222	6999	2416
223	7019	2381
224	7052	2350
225	7087	2320
226	7118	2289
227	7156	2259
228	7188	2228
229	7224	2198
230	7279	2174
231	7328	2148
232	7360	2116
233	7388	2083
234	7416	2051
235	7447	2019
236	7471	1986
237	7497	1953
238	7533	1922
239	7554	1888
240	7581	1856
241	7613	1824
242	7635	1791
243	7653	1756
244	7669	1721
245	7704	1691
246	7728	1658
247	7748	1624
248	7766	1590
249	7782	1556
250	7801	1522
251	7822	1490
252	7838	1456
253	7857	1423
254	7874	1389
255	7889	1356
256	7907	1322
257	7926	1290
258	7947	1258
259	7966	1225
260	7988	1193
261	8005	1161
262	8023	1128
263	8041	1096
264	8064	1065
265	8086	1033
266	8109	1002
267	8143	972
268	8166	941
269	8188	909
270	8217	879
271	8255	849
272	8281	819
273	8307	788
274	8337	757
275	8374	728
276	8401	697
277	8423	666
278	8449	635
279	8469	604
280	8497	574
281	8528	544
282	8556	514
283	8584	483
284	8615	453
285	8641	423
286	8704	394
287	8747	364
288	8801	334
289	8838	304
290	8895	275
291	8942	245
292	8992	214
293	9035	184
294	9064	153
295	9108	123
296	9151	92
297	9179	61
298	9220	30
299	9252	0
